Official Country Name,Nationalities in English
Afghanistan,Afghan
Algeria,Algerian
Argentina,Argentinean
Australia,Australian
Austria,Austrian
Bangladesh,Bangladeshi
Belarus,Belarusian
Belgium,Belgian
Bolivia,Bolivian
Bosnia and Herzegovina,Bosnian
Brazil,Brazilian
Bulgaria,Bulgarian
Cambodia,Cambodian
Canada,Canadian
Chile,Chilean
China,Chinese
Colombia,Colombian
Costa Rica,Costa Rican
Croatia,Croatian
Cyprus,Cypriot
Denmark,Danish
Ecuador,Ecuadorian
Egypt,Egyptian
El Salvador,Salvadoran
Estonia,Estonian
Fiji,Fijian
Finland,Finnish
France,French
Germany,German
Ghana,Ghanaian
Greece,Greek
Guatemala,Guatemalan
Guyana,Guyanese
Honduras,Honduran
Hungary,Hungarian
Iceland,Icelandic
India,Indian
Indonesia,Indonesian
Iran,Iranian
Iraq,Iraqi
Ireland,Irish
Israel,Israeli
Italy,Italian
Japan,Japanese
Jordan,Jordanian
Kazakhstan,Kazakh
Kenya,Kenyan
Kuwait,Kuwaiti
Latvia,Latvian
Lebanon,Lebanese
Lithuania,Lithuanian
Luxembourg,Luxembourger
Madagascar,Malagasy
Malaysia,Malaysian
Malta,Maltese
Mexico,Mexican
Mongolia,Mongolian
Morocco,Moroccan
Nepal,Nepali
Netherlands,Dutch
New Zealand,New Zealander
Nicaragua,Nicaraguan
Nigeria,Nigerian
North Korea,North Korean
Norway,Norwegian
Oman,Omani
Pakistan,Pakistani
Panama,Panamanian
Papua New Guinea,Papua New Guinean
Paraguay,Paraguayan
Peru,Peruvian
Philippines,Filipino
Poland,Polish
Portugal,Portuguese
Qatar,Qatari
Romania,Romanian
Samoa,Samoan
Saudi Arabia,Saudi
Serbia,Serbian
Singapore,Singaporean
Slovakia,Slovak
Slovenia,Slovenian
South Africa,South African
South Korea,Korean
Spain,Spanish
Sri Lanka,Sri Lankan
Suriname,Surinamese
Sweden,Swedish
Switzerland,Swiss
Tanzania,Tanzanian
Thailand,Thai
Tonga,Tongan
Tunisia,Tunisian
Turkey,Turkish
Uganda,Ugandan
Ukraine,Ukrainian
United Arab Emirates,Emirati
United Kingdom,British
United States,American
Uruguay,Uruguayan
Venezuela,Venezuelan
Vietnam,Vietnamese
